"","X","ประเภทสถานศึกษา","ที่ตั้งสถานศึกษา","จำนวนรายวิชาที่ลงทะเบียน","จำนวนรายวิชาonline","จำนวนรายวิชาonsite","ระดับความพร้อมสถานศึกษา","videoConference","Live","LMS","groupChat","email","collapApps","clipVideo","อายุเฉลี่ยผู้สอน","ภาพรวมความสามารถในการใช้สื่อเทคโนโลยีของผู้สอน","climate.online1","climate.online2","climate.online3","climate.onsite1","climate.onsite2","climate.onsite3","เพศผู้เรียน","ระดับชั้น","ภูมิลำเนา","สไตล์การเรียนที่ชอบ","smartphone","ipad","computer","ความพร้อมของinternet","บรรยากาศที่พักอาศัย","ความสามารถผู้เรียนในการใช้เทคโนโลยี","ความคิดเห็นต่อการเรียน","interaction.online1","interaction.online2","interaction.online3","interaction.onsite1","interaction.onsite2","interaction.onsite3","ความเครียดขณะเรียนonline","ความเครียดขณะเรียนonsite","outcome.online1","outcome.online2","outcome.online3","outcome.online4","outcome.onsite1","outcome.onsite2","outcome.onsite3","outcome.onsite4"
"219",219,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,4,0,1,0,1,0,1,0,1,3,4,5,NA,4,4,2,1,1,"กลาง",2,0,0,1,1,1,1,3,2,3,2,2,2,1,5,1,1,1,1,32.3377260481118,2,2,2,48.9279015182292
"220",220,"โรงเรียนมัธยมศึกษา","กลาง",8,4,4,3,1,1,1,0,1,1,0,1,3,3,5,5,4,3,NA,2,1,"กลาง",1,1,0,1,1,1,1,3,3,3,4,1,2,2,5,4,1,2,2,NA,1,2,2,40.8569048567349
"221",221,"โรงเรียนมัธยมศึกษา","กลาง",7,3,4,2,1,0,1,0,0,0,1,1,3,5,4,5,5,5,4,1,1,"กลาง",1,1,0,1,1,1,1,3,3,3,3,2,2,1,5,5,2,1,1,19.9815533587682,1,1,2,41.1044432298514
"222",222,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,2,1,0,0,1,1,0,1,1,3,3,4,5,4,2,2,1,1,"กลาง",1,0,0,1,1,1,1,1,1,2,2,2,2,2,5,4,2,1,1,36.6466063393987,1,1,1,28.6296192273545
"223",223,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,1,0,1,0,0,1,0,1,3,4,NA,5,2,2,4,2,1,"กลาง",1,1,0,1,1,1,2,3,4,3,3,1,2,2,2,5,3,2,2,44.3176771297857,1,1,1,19.4299414695187
"224",224,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,4,0,1,0,0,0,1,1,1,2,3,2,2,3,1,3,1,1,"กลาง",2,1,0,NA,1,1,2,2,3,4,4,2,2,2,3,3,2,3,2,42.8516698949126,1,2,1,35.3393895822203
"225",225,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,1,3,5,3,4,2,2,3,2,1,"กลาง",1,1,0,1,1,1,2,1,2,2,3,2,1,2,3,5,1,2,1,33.9052467493433,NA,2,1,28.5149543000081
"226",226,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,1,0,1,0,1,0,1,2,2,NA,2,1,3,2,3,1,1,"กลาง",1,1,0,1,1,2,2,2,3,4,3,2,2,NA,4,3,2,1,1,47.2600539033924,1,1,1,35.0111984429195
"227",227,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,5,5,3,NA,5,5,1,1,"กลาง",1,1,0,1,1,2,2,1,3,2,2,3,1,2,3,5,1,1,2,40.824595295561,2,1,1,31.6025652718812
"228",228,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,1,0,0,1,1,1,2,2,1,5,1,NA,1,1,1,"เหนือ",2,1,0,1,1,1,2,2,4,3,4,2,2,1,NA,5,3,3,3,49.4977617592628,2,3,3,39.2069742098281
"229",229,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,4,0,0,0,1,1,1,1,1,3,3,3,5,4,4,NA,2,1,"กลาง",2,1,0,1,0,1,1,2,3,4,3,1,NA,1,3,5,2,3,3,54.9905045039474,1,1,1,35.5564116156342
"230",230,"โรงเรียนมัธยมศึกษา","กลาง",9,0,9,1,0,0,0,0,0,0,0,1,3,5,3,5,NA,1,1,1,1,"กลาง",2,0,0,1,1,1,1,1,2,2,2,1,2,2,3,2,2,1,2,30.4387938675857,2,1,1,27.7143255429142
"231",231,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,2,2,2,3,2,2,3,3,1,1,"กลาง",3,1,0,1,1,1,1,1,2,2,2,2,1,2,1,4,1,1,1,35.5406778505707,1,2,2,34.7054246540161
"232",232,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,4,0,0,1,1,1,1,0,1,3,5,5,4,1,1,1,1,1,"กลาง",1,1,1,1,1,1,2,3,3,5,3,1,1,2,1,1,2,2,3,43.1120012758534,2,2,1,43.4842118048175
"233",233,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,1,0,0,1,0,1,1,2,5,4,3,2,3,3,1,1,"กลาง",1,1,0,1,1,1,1,3,3,3,3,2,2,2,5,5,2,1,1,40.1471287470739,1,2,1,34.8417947386974
"234",234,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,2,0,0,0,0,0,1,1,1,3,5,5,5,4,2,NA,2,1,"กลาง",1,1,1,1,1,1,2,2,4,5,4,2,NA,1,2,5,2,1,2,37.2854277491621,1,1,1,36.8510322048544
"235",235,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,0,0,0,0,1,1,0,1,3,5,4,NA,5,5,5,1,1,"เหนือ",1,1,0,1,1,1,1,3,3,3,2,1,2,2,5,5,NA,1,2,50.7128054882535,2,2,1,37.1971677302608
"236",236,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,1,0,0,1,0,1,1,0,1,3,3,4,5,3,4,4,2,1,"กลาง",2,1,1,1,1,1,3,2,4,NA,4,2,2,2,3,1,3,3,3,49.5529554249645,1,1,2,41.1128791624295
"237",237,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,1,1,1,0,1,1,0,1,3,5,NA,4,5,5,5,2,1,"กลาง",1,1,0,1,1,2,2,2,NA,3,4,2,2,1,5,5,3,3,2,46.6489318105171,1,1,1,30.7987122850099
"238",238,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,0,1,1,0,1,1,1,2,4,4,5,1,2,1,2,1,"กลาง",1,1,0,1,1,1,2,3,3,4,NA,2,1,1,4,1,2,3,3,53.0946807136585,1,1,1,38.7603130359296
"239",239,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,1,0,0,0,0,0,0,1,3,4,4,5,5,5,NA,2,1,"กลาง",3,1,1,1,1,2,3,2,3,5,4,2,1,1,2,2,2,2,1,43.3910924498762,1,2,1,27.037181789192
"240",240,"โรงเรียนมัธยมศึกษา","กลาง",9,0,9,1,0,0,0,0,0,0,0,1,2,NA,2,2,5,5,4,1,1,"กลาง",1,1,0,1,1,1,1,3,3,2,3,2,2,2,2,5,1,1,1,36.4477188263457,2,1,2,41.0846509114172
"241",241,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,1,3,4,5,NA,2,2,2,1,1,"กลาง",2,1,0,1,1,1,2,1,2,3,3,2,2,1,2,5,1,NA,1,42.0839108453201,1,1,1,31.5363406548406
"242",242,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,0,1,1,0,1,0,0,1,3,4,4,4,2,NA,3,1,1,"กลาง",3,0,0,1,1,1,1,3,3,2,4,3,1,1,5,5,2,1,1,48.3453737387111,2,2,2,NA
"243",243,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,2,0,0,0,0,0,0,0,1,3,3,5,1,5,3,5,1,1,"กลาง",2,1,0,1,1,2,2,1,2,2,2,2,2,2,4,3,1,1,1,25.6468230038895,2,2,1,43.3705321874391
"244",244,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,0,1,1,1,1,1,3,2,5,4,3,2,NA,2,1,"กลาง",2,1,0,1,1,1,2,3,3,3,3,1,1,2,3,1,2,2,2,47.2761854715842,2,1,3,26.4808693345342
"245",245,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,2,3,3,3,3,NA,4,5,2,1,"กลาง",1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,2,3,1,2,NA,1,1,1,35.6291981309736
"246",246,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,0,1,0,1,1,1,1,3,4,3,2,4,NA,2,1,1,"กลาง",1,0,0,1,1,1,1,3,2,2,2,2,3,2,5,4,1,1,1,29.0721557797376,1,1,1,31.5908539946852
"247",247,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,0,0,0,1,1,2,2,NA,5,4,5,3,2,1,1,"กลาง",1,1,0,1,1,1,2,3,2,3,3,2,2,2,5,3,2,2,1,52.8047252109513,1,2,1,30.6886525962429
"248",248,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,1,0,0,0,0,1,0,2,3,5,5,5,4,4,4,2,1,"กลาง",2,1,0,1,1,1,1,3,3,3,3,2,2,2,1,3,2,1,2,50.1818046777609,2,1,2,33.4332128500511
"249",249,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,3,0,0,0,0,0,1,0,2,3,5,3,4,1,2,1,2,1,"เหนือ",2,1,1,1,1,2,3,2,3,4,3,3,3,2,3,5,3,2,NA,51.990704124096,1,2,3,37.2755643862478
"250",250,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,2,5,NA,3,3,1,3,1,1,"กลาง",1,1,0,1,1,2,1,1,2,1,2,2,2,NA,4,1,2,2,3,40.3079439736883,1,2,2,47.5072558972545
"251",251,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,1,1,0,1,0,0,1,1,3,3,5,5,1,NA,1,2,1,"กลาง",1,0,0,1,1,1,1,3,2,3,3,2,2,3,4,5,1,2,1,41.0516486773234,2,1,1,44.4053138795514
"252",252,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,0,0,1,1,1,0,1,1,2,3,3,5,3,NA,3,1,1,"กลาง",1,0,0,1,1,1,1,3,2,2,2,2,2,1,4,1,1,1,1,31.2689837264897,1,2,1,39.1921305303421
"253",253,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,3,4,5,1,2,4,2,1,"กลาง",3,1,0,1,1,2,2,1,2,2,1,2,2,1,1,3,1,1,1,48.7687212646786,1,1,1,37.4350962977194
"254",254,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,0,0,0,1,1,1,2,2,3,2,4,3,3,2,2,1,"กลาง",2,0,0,1,1,1,1,3,2,3,3,3,3,3,5,5,2,2,1,48.1664288785408,1,1,1,40.3691986496713
"255",255,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,2,1,0,1,0,1,1,0,1,3,5,5,NA,2,2,2,1,1,"กลาง",3,0,1,1,1,1,1,2,3,4,4,2,1,2,2,2,3,2,1,37.0062431812747,1,2,1,45.4424393994459
"256",256,"โรงเรียนมัธยมศึกษา","กลาง",9,2,7,1,1,1,1,0,1,1,1,1,2,NA,3,2,3,5,3,1,1,"กลาง",1,1,1,1,1,1,3,2,4,4,4,2,NA,2,1,3,1,3,4,58.2460738656034,1,1,1,30.649043086526
"257",257,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,0,0,0,0,0,1,1,1,3,5,5,5,3,2,NA,2,1,"กลาง",2,0,0,0,1,1,1,1,2,2,2,2,1,1,2,3,1,1,2,43.5114749761272,1,2,2,46.318428460042
"258",258,"โรงเรียนมัธยมศึกษา","กลาง",7,6,1,3,0,1,1,1,1,1,1,1,3,4,4,NA,3,2,4,1,1,"กลาง",2,1,1,1,1,2,1,3,3,4,4,2,2,2,1,5,3,2,1,46.6551654669877,2,1,1,NA
"259",259,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,0,1,1,0,0,1,0,1,3,4,3,NA,5,5,5,1,1,"กลาง",2,1,0,1,1,2,1,3,3,2,2,2,2,1,2,2,2,3,2,50.6096721148813,1,1,1,36.3100109291504
"260",260,"โรงเรียนมัธยมศึกษา","กลาง",9,8,1,3,0,1,0,1,1,1,1,1,3,4,4,5,3,NA,5,1,1,"กลาง",2,1,1,1,1,1,3,2,5,5,4,2,1,2,1,1,1,1,2,36.8240046330191,1,2,1,41.9927800187345
"261",261,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,2,0,1,0,0,1,1,1,1,2,3,5,NA,1,4,4,1,1,"อิสาน",2,1,0,1,0,2,2,3,3,4,3,2,2,2,5,2,1,1,1,28.200976411951,1,1,1,46.5586956924363
"262",262,"โรงเรียนมัธยมศึกษา","กลาง",9,0,9,2,0,0,0,0,0,0,0,2,3,4,3,5,3,NA,3,1,1,"กลาง",1,1,0,1,1,1,3,3,3,3,4,2,3,2,1,4,3,2,2,41.9912913355703,3,2,3,NA
"263",263,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,2,0,1,1,1,0,0,0,1,3,5,4,3,1,1,1,1,1,"กลาง",1,0,0,1,1,1,1,1,2,3,1,1,2,2,5,5,1,1,1,30.0407526880463,1,2,1,22.832033474063
"264",264,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,4,3,5,4,3,4,1,1,"กลาง",1,0,0,1,1,1,1,1,1,2,1,1,2,2,5,4,1,1,1,28.8562962207295,1,1,1,36.7943990953392
"265",265,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,1,0,0,0,1,1,3,NA,4,5,4,3,2,1,1,"กลาง",2,1,0,1,1,2,1,3,3,3,4,2,1,2,5,3,1,2,1,43.4705849064077,1,1,1,27.2365819131919
"266",266,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,0,1,1,0,0,1,3,3,4,5,NA,1,4,2,1,"กลาง",2,1,1,1,1,1,2,2,4,3,5,2,2,2,2,3,3,2,2,47.5503197342517,2,1,1,50.3691573668329
"267",267,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,1,1,0,0,1,1,1,1,3,5,5,5,4,2,2,1,1,"กลาง",2,1,0,1,1,1,1,2,4,4,4,2,2,1,1,4,4,3,3,45.8893497593001,2,1,2,27.2965111419295
"268",268,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,5,0,1,0,0,1,0,1,1,3,4,5,4,NA,5,4,2,1,"กลาง",2,1,0,1,1,1,2,3,4,4,3,3,2,2,4,3,1,1,1,40.8351334554718,2,1,2,37.7169673298429
"269",269,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,0,0,0,1,0,1,3,3,4,4,5,5,NA,2,1,"กลาง",2,1,1,1,0,1,2,3,3,2,3,1,2,2,5,4,1,2,2,38.1607327936951,2,NA,4,53.1066989448503
"270",270,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,1,0,1,1,1,1,3,4,5,NA,1,4,3,2,1,"กลาง",2,1,NA,1,1,2,2,3,3,3,3,2,1,3,4,5,4,4,3,57.2017381865352,2,1,1,37.509195725101
"271",271,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,2,0,0,0,0,0,0,0,1,3,2,5,5,1,NA,1,2,1,"ใต้",2,1,0,0,1,1,1,1,2,1,2,2,1,2,5,3,2,2,1,36.6626040901061,1,1,1,39.1452104695485
"272",272,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,3,1,0,1,1,0,1,0,1,3,3,3,5,4,NA,1,2,1,"กลาง",2,1,0,1,1,1,1,3,3,3,3,1,2,2,2,2,2,2,3,45.5237831447609,NA,1,1,47.787956524995
"273",273,"โรงเรียนมัธยมศึกษา","กลาง",9,8,1,4,1,0,1,0,0,1,0,1,2,4,NA,3,5,5,5,1,1,"กลาง",2,1,0,1,1,1,1,3,3,3,2,1,2,2,5,1,2,1,1,44.0519621020907,1,1,2,23.5918593012177
"274",274,"โรงเรียนมัธยมศึกษา","กลาง",7,2,5,2,0,1,1,0,1,1,1,1,3,5,4,3,2,2,3,1,1,"กลาง",2,1,0,1,1,2,1,1,2,2,2,2,2,2,3,3,1,1,1,35.1077849697058,2,1,1,NA
"275",275,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,2,1,0,0,0,1,1,0,1,3,4,5,5,4,3,NA,1,1,"ใต้",2,1,0,1,1,2,1,3,2,3,2,2,2,2,1,2,1,1,3,46.552253879057,1,1,2,29.2051092646606
"276",276,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,1,0,0,0,1,1,0,1,2,4,4,3,1,1,NA,2,1,"กลาง",2,1,0,1,1,1,2,3,3,3,3,1,2,2,2,4,1,1,2,55.7568591620404,1,1,2,NA
"277",277,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,0,0,1,0,1,0,0,2,2,3,2,4,1,1,2,1,1,"กลาง",1,1,0,NA,1,1,2,3,3,3,3,2,2,3,2,1,2,2,2,58.3768001833677,1,1,1,34.5946520921768
"278",278,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,5,5,3,2,3,1,2,1,"ใต้",1,1,0,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,31.349214232909,1,1,1,26.2800577511382
"279",279,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,0,0,0,1,0,0,1,3,5,5,5,4,3,NA,1,1,"กลาง",2,1,0,1,1,1,2,3,5,5,3,1,1,1,2,2,2,3,1,48.6286298796855,1,2,1,35.2993909046983
"280",280,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,2,0,0,0,1,1,0,0,1,3,4,5,5,1,1,1,1,1,"กลาง",2,1,0,1,1,1,1,3,3,2,2,2,1,1,5,5,1,2,2,31.488821497499,2,1,1,34.3906876575806
"281",281,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,1,0,0,0,0,1,1,2,3,4,5,5,3,4,NA,2,1,"กลาง",1,1,0,1,1,2,1,1,2,3,2,2,2,3,5,2,NA,2,1,33.3331989612989,1,1,1,46.4558897103256
"282",282,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,5,0,0,0,1,0,1,1,1,3,4,NA,3,2,4,2,2,1,"กลาง",3,0,0,1,1,1,1,3,2,2,3,2,1,3,5,4,1,1,2,48.357520315109,1,1,1,30.7388857243825
"283",283,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,0,0,0,0,1,0,1,2,2,2,NA,5,4,4,5,2,1,"กลาง",3,1,0,1,1,1,1,3,3,4,3,2,2,2,3,5,2,3,2,52.0901824341727,1,1,1,36.2565749415993
"284",284,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,5,0,0,0,1,1,1,1,1,2,4,3,NA,2,4,5,2,1,"กลาง",3,1,0,1,0,NA,3,2,4,4,4,1,1,2,3,5,1,2,2,43.5321418996729,2,1,2,27.0034934653991
"285",285,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,0,1,1,0,1,1,1,2,3,5,5,5,NA,4,4,2,1,"กลาง",2,1,0,1,1,2,1,2,5,3,4,NA,2,3,1,5,2,3,2,49.3484346972253,1,1,1,38.2509478074924
"286",286,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,2,0,0,0,0,0,0,0,1,3,4,3,NA,1,2,2,1,1,"กลาง",2,1,0,1,1,1,1,1,2,3,2,2,2,1,2,1,1,1,2,30.3181427267002,NA,3,2,40.9444873398845
"287",287,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,1,0,0,0,1,0,1,3,3,2,4,5,3,4,1,1,"อิสาน",2,1,1,1,1,1,3,2,5,5,5,2,1,2,NA,4,3,3,2,57.4300020334738,2,2,1,45.9393135548824
"288",288,"โรงเรียนมัธยมศึกษา","กลาง",8,2,6,1,0,0,0,0,1,1,0,1,3,2,5,4,4,4,NA,2,1,"กลาง",2,1,1,0,1,1,1,1,1,2,3,1,3,1,1,2,1,1,2,38.1123968279678,2,3,1,35.9686934485582
"289",289,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,1,0,0,0,1,0,1,1,3,NA,5,3,4,3,2,1,1,"กลาง",3,1,1,1,NA,2,2,3,3,5,4,1,2,2,2,2,2,1,3,43.4387334492848,2,2,2,45.1224622150473
"290",290,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,0,0,0,1,1,0,0,1,2,3,4,4,4,4,2,2,1,"กลาง",1,1,1,1,1,1,3,2,4,4,5,1,2,NA,5,2,3,2,3,54.1492588728111,1,1,1,37.6557848939868
"291",291,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,0,0,1,1,0,1,3,5,5,4,1,1,1,1,1,"กลาง",1,0,0,1,1,1,1,3,2,2,2,2,2,2,5,3,1,2,NA,36.1051804548538,2,2,1,45.6091364020361
"292",292,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,1,1,0,1,1,1,1,2,5,5,1,NA,1,5,1,1,"กลาง",2,1,0,1,1,1,1,3,2,3,2,3,3,2,1,NA,1,1,3,37.7332362616775,2,1,2,30.263622020455
"293",293,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,5,5,5,5,5,NA,1,1,"กลาง",2,1,0,0,1,1,1,1,2,2,1,2,3,2,5,5,2,1,1,32.698464415629,2,1,2,56.0400520143642
"294",294,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,1,1,0,1,0,1,1,1,2,2,3,2,3,2,1,2,2,1,"กลาง",1,1,0,1,1,2,1,1,2,2,2,2,3,3,5,3,2,2,1,32.2316208542295,1,1,1,30.8609372149089
"295",295,"โรงเรียนมัธยมศึกษา","กลาง",9,7,2,3,1,0,1,1,0,1,1,1,3,5,5,5,3,3,3,2,1,"กลาง",2,1,0,1,1,1,1,2,4,3,4,2,2,2,5,2,4,2,2,42.7634636961003,2,1,2,43.9903200840201
"296",296,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,1,0,0,1,1,1,1,3,5,3,NA,3,3,5,1,1,"กลาง",2,1,0,1,1,1,2,3,4,3,3,2,1,2,1,4,3,2,NA,40.3639938033391,2,1,1,45.0058598187606
"297",297,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,1,1,0,1,1,1,2,3,3,2,3,2,NA,1,2,1,"กลาง",2,1,1,1,1,2,3,2,5,4,5,2,1,2,4,3,2,NA,2,36.2745567485347,2,3,1,47.0100688964828
"298",298,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,1,0,1,1,1,1,1,1,2,2,4,NA,4,3,5,1,1,"กลาง",2,1,0,1,0,2,1,3,3,3,3,2,NA,1,5,2,4,2,3,50.7720710072572,1,2,3,50.9832578479737
"299",299,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,1,0,1,1,0,1,3,4,4,4,3,5,NA,1,1,"อิสาน",1,1,0,1,1,1,1,3,3,3,2,2,2,2,5,5,2,1,2,52.6216999161992,1,1,1,29.343904058906
"300",300,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,0,1,0,0,1,1,1,2,NA,4,3,3,2,3,2,1,"เหนือ",1,1,0,1,1,2,2,3,2,2,3,2,2,2,1,4,1,2,2,38.7688275756591,4,2,1,NA
"301",301,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,1,0,1,1,1,1,0,1,2,2,3,1,4,3,5,5,1,1,"กลาง",1,1,0,1,1,1,1,3,4,3,2,2,2,2,5,2,1,2,2,40.7928405595023,2,1,1,29.255809545999
"302",302,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,1,0,0,1,1,0,1,3,4,4,3,NA,3,5,2,1,"กลาง",3,1,0,1,1,1,2,3,3,3,3,2,3,NA,5,5,2,1,3,41.0117188107211,1,1,3,36.8874938975514
"303",303,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,2,0,1,1,0,1,1,0,1,3,5,5,3,5,4,5,2,1,"กลาง",2,0,0,1,1,1,1,3,2,3,3,1,2,2,1,3,2,1,2,58.7906204879272,3,2,3,46.9200826707567
"304",304,"โรงเรียนมัธยมศึกษา","กลาง",9,1,8,1,1,0,0,0,1,1,1,2,2,2,2,2,3,1,4,2,1,"กลาง",2,1,0,1,1,1,2,3,2,2,3,2,4,2,3,4,2,1,1,37.5416585577706,2,2,1,40.3982285964934
"305",305,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,4,0,0,0,0,1,1,1,1,3,NA,5,4,3,1,4,1,1,"กลาง",1,0,0,1,1,1,1,1,2,3,2,2,2,2,5,1,1,1,1,31.8745068424926,1,1,1,36.6107475901324
"306",306,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,2,3,5,4,3,3,NA,3,1,1,"กลาง",1,0,0,1,1,1,1,1,2,2,1,2,2,3,5,2,2,1,1,43.7163498199776,1,2,1,41.5301829949633
"307",307,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,2,2,NA,4,2,4,4,5,2,1,"กลาง",3,1,0,1,1,2,1,1,1,1,2,3,3,3,1,4,1,1,1,28.4022187010813,1,2,1,30.5743094283244
"308",308,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,3,0,1,0,0,1,1,1,2,2,3,3,3,3,2,3,2,1,"กลาง",1,1,1,1,1,1,3,2,4,3,NA,2,2,3,3,1,2,2,2,30.5882950547838,2,2,1,38.5788469686212
"309",309,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,2,2,3,2,3,5,4,NA,1,1,"กลาง",1,0,0,1,0,1,1,1,1,1,3,2,2,2,2,3,1,1,1,42.64904530194,2,2,2,31.6749970545994
"310",310,"โรงเรียนมัธยมศึกษา","กลาง",8,6,2,3,0,0,0,0,1,1,1,2,3,5,4,5,4,NA,4,1,1,"กลาง",1,1,0,1,1,2,2,3,NA,3,3,3,2,2,4,1,1,1,2,36.2736905327267,1,1,1,32.4639618779396
"311",311,"โรงเรียนมัธยมศึกษา","กลาง",7,5,2,3,1,0,1,0,1,1,0,2,3,5,4,2,1,1,2,2,1,"กลาง",1,0,0,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,42.9159830680368,2,3,2,53.9143969393466
"312",312,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,1,0,1,0,1,1,1,2,2,4,2,2,4,3,2,2,1,"กลาง",1,1,0,1,1,2,2,3,2,3,2,3,2,2,5,1,2,3,1,39.0523385682447,1,NA,1,41.4550368156403
"313",313,"โรงเรียนมัธยมศึกษา","กลาง",7,2,5,3,1,0,1,0,0,1,1,2,2,4,4,NA,1,3,2,1,1,"กลาง",2,1,0,1,1,2,1,1,1,1,1,3,3,2,5,5,1,1,1,31.6283109639734,2,1,1,48.9136605129518
"314",314,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,0,0,1,0,1,1,1,1,3,5,3,5,3,2,1,2,1,"กลาง",2,1,1,1,1,1,2,2,5,5,5,2,2,2,1,1,2,NA,2,58.5059481160776,1,1,2,38.4837561366466
"315",315,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,4,1,1,0,1,1,1,1,1,2,3,5,3,3,NA,2,1,1,"กลาง",1,1,0,1,1,1,1,2,4,3,4,2,2,2,5,3,1,1,1,35.0414391066984,2,2,1,33.0261507081074
"316",316,"โรงเรียนมัธยมศึกษา","กลาง",8,2,6,1,0,0,1,0,1,1,0,1,2,4,NA,4,3,2,2,1,1,"ใต้",2,1,0,1,1,2,1,3,4,3,3,2,2,1,5,5,2,2,1,39.3269322424651,1,1,1,28.9643323407282
